repo	stars	license	kicad_pcb	firmware_files	ino	platformio	updated	description
mprosk/mtg_life_counter	19	cern-ohl-s-2.0	1	1	1	0	2026-07-28	Four player life counter for Magic: The Gathering
stasiselectronics/8BitWiFiVisualizer	12	other	1	3	3	0	2023-10-18	Open Source Hardware project for a minimalist WiFi enabled 8 Bit visualizer. The included 
uzsito/attach-hexa	11	gpl-3.0	1	1	1	0	2026-07-12	Configurable low-cost solution to produce fake cooling fan TACH signals for various comput
Haimrich/avaja	11	other	1	25	0	0	2026-08-14	RISC-V Debug Probe USB-C PMOD JTAG+UART
janc18/CAE32	10	gpl-3.0	4	33	0	0	2025-11-23	Simracing equipment, including hardware, software, and firmware design.
adessein/citationx-cockpit	9	gpl-3.0	3	45	32	0	2026-06-20	Realisation of a home cockpit for the Cessna Citation X in Flightgear
sPyOpenSource/ESP32-PCB	8	other	7	4	0	0	2026-06-04	PCB boards designed with ESP32
megasaturnv/arduino-gps-tracker	8	gpl-3.0	1	6	6	0	2026-07-14	An Arduino-based GPS tracking solution. Uses one Arduino as the GPS tracker and the other 
mickdassive/reflowow-oven-controler	2	gpl-3.0	1	9	0	1	2025-05-28	firmware for a reflow controller
MelexinVN/bs_kombo_sidru	2	gpl-3.0	2	399	0	0	2026-03-27	Декоративное устройство на микроконтроллере STM32 и адресных светодиодах WS2812, управляем
mlab-modules/ALTIMET02	2	gpl-3.0	1	1	1	0	2025-10-31	High-accuracy barometric pressure and temperature sensing module with MS561101BA03. 
Majklzbastlirny/NixieClock	1	gpl-3.0	2	1	0	1	2026-07-28	ESP-IDF firmware for a 6-tube multiplexed ESP32 nixie clock (WiFi/SNTP, Home Assistant, we
StarGate01/Handbrake	1	other	1	10	0	0	2022-01-19	Firmware and Hardware for an analog handbrake game controller using an attiny85 and v-usb
